,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_EDUCATION_TYPE,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,REGION_RATING_CLIENT_W_CITY,APPL_DATETIME,DATE_BIRTH
161749,0,Cash loans,M,N,N,67500,625536,22599,540000,Lower secondary,Municipal apartment,0.009334,2,9/5/2018 12:03,3/5/1963
105528,0,Cash loans,F,Y,Y,202500,840951,35761.5,679500,Secondary / secondary special,House / apartment,0.035792,2,2/14/2016 15:09,7/1/1982
159160,0,Cash loans,F,N,Y,135000,298512,32278.5,270000,Incomplete higher,House / apartment,0.005084,2,10/8/2015 16:28,15-10-1950
133382,0,Cash loans,M,Y,Y,135000,1079883,35820,967500,Secondary / secondary special,House / apartment,0.006852,3,3/29/2015 0:28,20-05-1986
177893,0,Cash loans,F,N,N,112500,508495.5,21541.5,454500,Secondary / secondary special,Municipal apartment,0.011657,1,1/31/2017 13:44,4/7/1963
71000,0,Cash loans,F,N,Y,168750,1227901.5,46129.5,1129500,Secondary / secondary special,House / apartment,0.025164,2,8/21/2018 1:05,2/7/1996
85609,0,Cash loans,M,Y,Y,135000,755190,30078,675000,Secondary / secondary special,House / apartment,0.030755,2,11/11/2018 11:48,8/6/1991
112140,0,Cash loans,M,N,Y,112500,225000,22383,225000,Higher education,House / apartment,0.0228,2,8/17/2016 19:02,15-09-1957
64762,0,Cash loans,F,N,N,117000,203760,19849.5,180000,Higher education,House / apartment,0.011703,2,10/6/2015 15:06,6/1/1972
94017,0,Revolving loans,F,N,N,135000,202500,10125,202500,Higher education,House / apartment,0.031329,2,5/11/2016 21:34,11/2/1982
63091,0,Revolving loans,F,N,N,144000,292500,14625,292500,Secondary / secondary special,House / apartment,0.00702,2,2/26/2016 14:42,14-06-1987
63826,0,Cash loans,F,N,Y,112500,113760,6529.5,90000,Secondary / secondary special,House / apartment,0.022625,2,9/14/2015 14:10,27-09-1990
187852,0,Cash loans,M,Y,N,180000,521280,28408.5,450000,Higher education,House / apartment,0.018634,2,9/26/2015 13:37,4/9/1970
141062,0,Cash loans,F,N,N,72000,121500,8217,121500,Secondary / secondary special,With parents,0.030755,2,9/5/2015 20:18,26-02-1950
174775,0,Cash loans,F,N,Y,121500,270000,18171,270000,Secondary / secondary special,With parents,0.026392,2,8/22/2015 21:57,14-03-1992
118721,0,Cash loans,F,N,Y,90000,225000,21037.5,225000,Higher education,House / apartment,0.026392,2,3/16/2017 12:40,22-09-1991
187977,0,Cash loans,F,N,Y,112500,247500,12037.5,247500,Secondary / secondary special,House / apartment,0.035792,2,1/4/2016 6:30,3/4/1963
46978,0,Cash loans,M,N,Y,225000,1006920,51543,900000,Secondary / secondary special,House / apartment,0.030755,2,5/25/2016 5:18,3/1/1951
110649,1,Cash loans,M,Y,N,153000,360000,28440,360000,Secondary / secondary special,Rented apartment,0.010556,3,7/1/2018 3:34,23-06-1952
191390,0,Cash loans,F,N,Y,135000,755190,35122.5,675000,Secondary / secondary special,House / apartment,0.02461,2,7/19/2016 7:22,10/5/1977
135336,0,Cash loans,F,N,Y,112500,381528,30271.5,315000,Secondary / secondary special,House / apartment,0.008068,3,12/10/2016 9:44,14-10-1969
114003,0,Cash loans,F,N,Y,99000,538704,21492,481500,Lower secondary,House / apartment,0.020246,3,2/24/2015 9:39,4/6/1963
105547,0,Cash loans,M,N,Y,112500,288873,18936,238500,Secondary / secondary special,Office apartment,0.00702,2,10/23/2018 2:00,16-08-1960
93382,0,Revolving loans,F,N,Y,135000,315000,15750,315000,Secondary / secondary special,House / apartment,0.018209,3,10/6/2015 16:51,14-03-1967
133649,0,Cash loans,M,N,Y,121500,302206.5,16524,229500,Secondary / secondary special,Rented apartment,0.020713,3,3/4/2017 19:28,4/4/1960
124354,0,Cash loans,F,Y,N,202500,298512,15885,270000,Higher education,House / apartment,0.018801,2,8/22/2017 10:08,29-04-1978
84993,0,Cash loans,M,Y,N,360000,379008,37053,360000,Higher education,House / apartment,0.072508,1,2/17/2015 15:32,26-11-1955
77038,0,Cash loans,F,N,Y,85500,675000,36747,675000,Higher education,House / apartment,0.026392,2,12/27/2018 2:07,12/6/1983
59915,0,Cash loans,M,Y,N,166500,283585.5,29187,256500,Secondary / secondary special,House / apartment,0.018801,2,3/15/2018 14:20,1/8/1978
170480,0,Cash loans,M,Y,N,157500,841500,34272,841500,Secondary / secondary special,House / apartment,0.018634,2,11/30/2017 1:54,5/5/1952
131786,0,Cash loans,F,N,N,112500,850500,24997.5,850500,Secondary / secondary special,House / apartment,0.030755,2,6/27/2018 5:17,7/7/1966
92793,0,Cash loans,F,N,N,135000,450000,21888,450000,Secondary / secondary special,House / apartment,0.009657,2,4/28/2015 3:00,22-11-1956
65625,0,Cash loans,F,N,Y,157500,1078200,34911,900000,Secondary / secondary special,House / apartment,0.018029,3,6/27/2016 9:40,17-07-1960
104642,0,Cash loans,F,N,Y,90000,436032,34578,360000,Secondary / secondary special,House / apartment,0.005002,3,7/28/2015 23:42,24-01-1952
150836,0,Revolving loans,F,N,Y,90000,135000,6750,135000,Secondary / secondary special,House / apartment,0.031329,2,5/18/2016 14:14,11/6/1977
161629,0,Cash loans,F,Y,Y,157500,840996,24718.5,702000,Higher education,House / apartment,0.0228,2,7/6/2018 21:39,9/10/1966
138222,0,Cash loans,M,Y,N,243000,447768,29920.5,405000,Secondary / secondary special,Office apartment,0.006629,2,11/4/2017 19:46,7/1/1959
63742,0,Cash loans,F,N,Y,180000,331834.5,20182.5,252000,Higher education,House / apartment,0.020713,2,3/14/2016 15:03,11/9/1957
86384,0,Cash loans,M,Y,Y,292500,668304,34254,540000,Higher education,House / apartment,0.025164,2,5/2/2015 23:14,9/7/1986
94646,0,Cash loans,F,N,N,135000,774000,22311,774000,Incomplete higher,House / apartment,0.028663,2,6/17/2017 9:49,12/1/1992
145066,0,Cash loans,F,Y,Y,211500,830214,24403.5,693000,Secondary / secondary special,House / apartment,0.011703,2,10/17/2017 20:36,7/5/1996
135876,1,Cash loans,F,N,Y,103500,161730,8901,135000,Secondary / secondary special,House / apartment,0.006852,3,4/3/2018 4:52,7/1/1974
171795,0,Cash loans,F,Y,N,135000,1042164,58324.5,931500,Incomplete higher,Office apartment,0.008068,3,9/15/2018 4:40,12/2/1981
132002,0,Cash loans,F,N,Y,90000,868500,36927,868500,Secondary / secondary special,House / apartment,0.002134,3,7/10/2017 3:28,15-12-1995
113630,1,Cash loans,M,N,Y,180000,1546020,45333,1350000,Secondary / secondary special,Municipal apartment,0.04622,1,5/26/2017 3:01,9/12/1954
139472,0,Cash loans,F,N,Y,36900,97038,7029,81000,Secondary / secondary special,House / apartment,0.020246,3,4/3/2016 19:31,19-03-1994
188613,0,Cash loans,M,N,N,315000,942300,36643.5,675000,Secondary / secondary special,House / apartment,0.072508,1,7/13/2018 20:53,21-11-1956
54173,0,Cash loans,F,N,Y,225000,675000,29862,675000,Secondary / secondary special,Office apartment,0.025164,2,4/25/2018 8:28,23-04-1952
153155,0,Cash loans,F,N,N,90000,126000,13365,126000,Secondary / secondary special,House / apartment,0.018209,3,9/12/2017 5:42,31-10-1994
97259,0,Cash loans,M,N,N,108000,71955,7762.5,67500,Secondary / secondary special,House / apartment,0.02461,2,10/29/2015 14:14,6/7/1956
108660,0,Cash loans,F,Y,N,274500,486459,17473.5,342000,Secondary / secondary special,Municipal apartment,0.072508,1,10/20/2015 12:51,3/10/1983
161177,0,Cash loans,F,N,N,90000,1006920,42660,900000,Secondary / secondary special,House / apartment,0.00496,2,5/11/2017 12:52,28-10-1961
96509,1,Cash loans,M,Y,Y,247500,755190,41098.5,675000,Secondary / secondary special,House / apartment,0.072508,1,8/28/2016 1:54,1/6/1990
74140,0,Cash loans,F,N,Y,225000,841500,24732,841500,Secondary / secondary special,House / apartment,0.028663,2,9/11/2018 14:39,2/1/1957
122730,0,Cash loans,F,N,Y,90000,531706.5,31792.5,459000,Secondary / secondary special,House / apartment,0.01885,2,8/30/2018 0:19,15-07-1966
188788,0,Cash loans,M,N,Y,225000,1288350,35428.5,1125000,Secondary / secondary special,House / apartment,0.031329,2,9/1/2016 14:37,5/1/1962
110273,0,Cash loans,F,Y,Y,121500,270000,26302.5,270000,Higher education,House / apartment,0.019101,2,12/27/2015 6:39,24-04-1962
110375,0,Cash loans,F,N,Y,225000,797557.5,26487,688500,Secondary / secondary special,House / apartment,0.022625,2,8/17/2018 10:32,17-12-1959
196336,0,Cash loans,F,N,N,112500,585000,19332,585000,Secondary / secondary special,House / apartment,0.072508,1,3/28/2018 15:54,25-04-1963
113969,0,Cash loans,F,N,N,112500,225000,17775,225000,Secondary / secondary special,House / apartment,0.025164,2,12/15/2018 7:15,1/12/1961
188310,0,Cash loans,F,N,Y,112500,95940,9342,90000,Secondary / secondary special,House / apartment,0.019689,2,8/8/2015 10:05,22-03-1968
63342,0,Cash loans,M,Y,Y,180000,417024,33565.5,360000,Secondary / secondary special,House / apartment,0.072508,1,10/9/2015 21:05,21-12-1959
114080,0,Cash loans,M,Y,Y,193500,521280,26743.5,450000,Higher education,House / apartment,0.009549,2,5/10/2018 2:45,6/5/1951
105319,0,Cash loans,F,Y,Y,135000,352044,13401,247500,Secondary / secondary special,House / apartment,0.028663,2,9/24/2017 23:24,14-02-1990
188954,1,Cash loans,M,Y,Y,112500,364896,19102.5,315000,Secondary / secondary special,House / apartment,0.028663,2,10/19/2018 3:06,6/10/1963
190647,0,Cash loans,F,N,Y,202500,331920,18135,225000,Higher education,House / apartment,0.031329,2,4/22/2017 19:48,22-04-1955
137762,0,Cash loans,F,N,Y,90000,1724220,50544,1350000,Secondary / secondary special,House / apartment,0.0228,2,12/10/2018 22:26,5/2/1960
86075,0,Cash loans,M,N,Y,90000,720000,28030.5,720000,Secondary / secondary special,House / apartment,0.01452,2,1/5/2017 6:23,13-12-1951
46722,0,Cash loans,F,N,Y,135000,143910,14148,135000,Secondary / secondary special,House / apartment,0.030755,2,10/13/2016 19:01,22-09-1967
77242,0,Cash loans,F,N,Y,67500,900000,26446.5,900000,Secondary / secondary special,House / apartment,0.011703,2,2/16/2018 6:31,21-11-1966
107258,0,Cash loans,F,N,Y,193500,857655,36468,693000,Secondary / secondary special,House / apartment,0.020713,2,5/10/2015 5:53,26-08-1960
65671,0,Cash loans,M,Y,Y,315000,1687266,64395,1575000,Secondary / secondary special,House / apartment,0.025164,2,9/28/2015 1:10,23-05-1984
123308,0,Cash loans,F,N,Y,171000,545040,26640,450000,Higher education,House / apartment,0.035792,2,2/21/2018 12:34,12/3/1991
187565,0,Cash loans,F,N,N,58500,225000,16951.5,225000,Secondary / secondary special,Municipal apartment,0.020713,3,2/16/2016 14:47,28-05-1991
95790,0,Cash loans,M,Y,Y,121500,450000,19318.5,450000,Secondary / secondary special,House / apartment,0.02461,2,7/24/2015 23:21,15-08-1947
65441,0,Cash loans,F,Y,N,157500,990000,35559,990000,Secondary / secondary special,House / apartment,0.018634,2,10/26/2016 21:32,19-11-1976
194367,0,Cash loans,F,N,Y,99000,306306,15768,247500,Secondary / secondary special,House / apartment,0.009175,2,1/28/2017 17:20,12/8/1951
124580,0,Cash loans,F,Y,Y,81000,1762110,48456,1575000,Higher education,House / apartment,0.016612,2,5/15/2018 18:02,23-12-1984
179464,0,Cash loans,F,Y,Y,76500,508495.5,22527,454500,Secondary / secondary special,House / apartment,0.01885,2,8/16/2016 19:13,9/3/1957
141359,0,Cash loans,F,N,N,90000,314100,16033.5,225000,Secondary / secondary special,House / apartment,0.006629,2,1/16/2017 23:56,10/3/1961
110020,0,Cash loans,F,Y,N,247500,299772,15358.5,247500,Incomplete higher,House / apartment,0.020713,3,2/11/2018 10:35,29-06-1953
78166,0,Cash loans,F,N,Y,48010.5,225000,9657,225000,Secondary / secondary special,House / apartment,0.018209,3,3/1/2015 11:23,9/8/1973
172335,0,Cash loans,F,Y,Y,103500,695439,27076.5,580500,Secondary / secondary special,House / apartment,0.022625,2,1/21/2016 21:19,30-09-1960
66333,0,Cash loans,F,Y,Y,112500,270000,16443,270000,Secondary / secondary special,House / apartment,0.028663,2,3/19/2018 19:26,28-05-1986
164915,0,Cash loans,F,Y,N,90000,1762110,48456,1575000,Secondary / secondary special,Municipal apartment,0.04622,1,1/6/2018 22:27,23-10-1979
183652,0,Cash loans,F,N,Y,265500,971280,51745.5,900000,Secondary / secondary special,House / apartment,0.04622,1,1/18/2018 18:43,27-03-1962
196695,0,Cash loans,F,Y,Y,180000,549000,26541,549000,Higher education,House / apartment,0.026392,2,2/6/2016 23:31,31-12-1964
146730,0,Cash loans,F,N,Y,315000,592560,31153.5,450000,Incomplete higher,House / apartment,0.04622,1,7/25/2016 0:14,16-04-1953
148525,0,Cash loans,F,Y,Y,112500,203760,11826,180000,Secondary / secondary special,House / apartment,0.019689,2,7/23/2015 17:36,4/6/1959
121147,0,Cash loans,F,N,N,112500,526491,17527.5,454500,Secondary / secondary special,House / apartment,0.00702,2,11/2/2017 12:57,27-12-1964
117625,0,Cash loans,F,N,Y,180000,612612,33363,495000,Secondary / secondary special,House / apartment,0.00963,2,7/4/2015 0:09,3/7/1979
86456,0,Cash loans,M,Y,Y,180000,1546020,45333,1350000,Secondary / secondary special,House / apartment,0.018801,2,11/15/2016 9:34,14-08-1958
77749,0,Cash loans,F,N,Y,112500,778500,28849.5,778500,Secondary / secondary special,House / apartment,0.025164,2,10/15/2017 11:51,15-07-1950
165289,0,Cash loans,F,N,Y,103500,288873,14179.5,238500,Secondary / secondary special,House / apartment,0.020713,3,12/18/2015 5:15,11/6/1992
50826,0,Cash loans,F,Y,N,112500,675000,21906,675000,Higher education,House / apartment,0.018209,3,6/21/2018 18:30,21-05-1960
60469,0,Cash loans,F,N,Y,135000,536917.5,19413,463500,Secondary / secondary special,House / apartment,0.028663,2,10/10/2018 16:12,25-07-1967
74984,0,Cash loans,F,Y,Y,112500,328405.5,17946,283500,Secondary / secondary special,House / apartment,0.04622,1,3/6/2016 3:37,8/8/1986
149222,0,Cash loans,F,Y,N,78750,508495.5,24592.5,454500,Secondary / secondary special,House / apartment,0.01885,2,11/11/2015 17:26,25-01-1973
63020,0,Cash loans,F,N,N,360000,2085120,72607.5,1800000,Secondary / secondary special,House / apartment,0.072508,1,2/24/2017 16:43,14-01-1982
73061,0,Cash loans,F,N,Y,67500,314100,13437,225000,Higher education,House / apartment,0.00733,2,4/15/2016 2:24,4/5/1980
123567,0,Cash loans,F,N,Y,76500,521280,31630.5,450000,Higher education,House / apartment,0.010643,2,2/9/2016 9:59,26-11-1964
147872,0,Cash loans,M,Y,Y,675000,1928304,73579.5,1800000,Secondary / secondary special,House / apartment,0.035792,2,11/27/2017 6:41,31-03-1981
166352,0,Cash loans,F,N,Y,72000,219069,12015,148500,Secondary / secondary special,House / apartment,0.008625,2,6/3/2015 16:25,26-12-1989
44900,0,Cash loans,F,N,N,202500,808650,26217,675000,Secondary / secondary special,Municipal apartment,0.04622,1,3/31/2017 22:21,10/4/1993
61560,0,Cash loans,F,N,N,180000,850500,32526,850500,Secondary / secondary special,House / apartment,0.011703,2,12/22/2018 19:08,10/7/1959
155325,0,Revolving loans,M,Y,Y,90000,135000,6750,135000,Higher education,House / apartment,0.035792,2,10/19/2017 3:13,7/9/1974
132438,0,Cash loans,F,Y,Y,112500,916470,32598,765000,Secondary / secondary special,House / apartment,0.00733,2,4/3/2017 2:09,26-08-1992
155788,0,Cash loans,F,N,Y,112500,254700,30357,225000,Secondary / secondary special,With parents,0.010006,2,7/2/2018 20:29,25-06-1989
113125,0,Cash loans,M,N,Y,202500,454500,21996,454500,Secondary / secondary special,House / apartment,0.01452,2,8/17/2018 18:26,19-12-1973
159776,0,Cash loans,F,N,N,157500,501363,24250.5,418500,Secondary / secondary special,Office apartment,0.00496,2,7/30/2018 6:45,30-11-1950
178291,0,Cash loans,F,N,Y,225000,678456,22014,486000,Secondary / secondary special,House / apartment,0.018801,2,1/19/2017 19:57,28-07-1954
197034,0,Cash loans,F,N,N,180000,225000,14647.5,225000,Secondary / secondary special,House / apartment,0.032561,1,12/21/2016 12:00,8/1/1971
138237,0,Cash loans,F,N,N,85500,343800,16024.5,225000,Secondary / secondary special,House / apartment,0.031329,2,11/12/2016 2:43,23-10-1950
121979,0,Cash loans,M,N,Y,225000,640080,29970,450000,Secondary / secondary special,House / apartment,0.010006,1,2/28/2015 13:21,14-05-1952
141674,0,Cash loans,F,N,Y,157500,454500,20020.5,454500,Higher education,House / apartment,0.035792,2,5/30/2018 16:05,15-10-1975
182553,0,Cash loans,F,N,Y,130500,239850,23850,225000,Secondary / secondary special,House / apartment,0.018634,2,11/26/2015 12:25,8/9/1964
61211,0,Cash loans,M,Y,N,157500,1054773,32107.5,945000,Secondary / secondary special,House / apartment,0.009549,2,5/16/2017 15:46,5/1/1961
75380,0,Cash loans,F,N,N,94500,547344,23139,472500,Secondary / secondary special,House / apartment,0.00496,2,6/21/2017 21:15,19-11-1950
159728,0,Cash loans,F,Y,Y,180000,225000,17541,225000,Higher education,House / apartment,0.026392,2,10/5/2016 2:45,5/12/1963
155366,0,Cash loans,M,Y,N,225000,143910,15399,135000,Secondary / secondary special,House / apartment,0.031329,2,12/26/2018 6:13,30-11-1952
65562,0,Cash loans,F,Y,N,315000,724630.5,48622.5,684000,Higher education,House / apartment,0.003813,2,12/15/2016 1:56,5/12/1982
154143,0,Cash loans,F,N,Y,67500,130824,10462.5,103500,Secondary / secondary special,House / apartment,0.018029,3,7/8/2015 14:09,2/8/1949
169759,0,Cash loans,M,N,Y,166500,314100,21375,225000,Secondary / secondary special,House / apartment,0.011703,2,1/19/2017 15:14,26-12-1979
135683,0,Cash loans,F,N,Y,247500,202765.5,18724.5,184500,Secondary / secondary special,Municipal apartment,0.003818,2,12/13/2015 20:21,22-12-1969
88042,0,Cash loans,M,Y,Y,180000,1260702,41796,1129500,Higher education,House / apartment,0.00496,2,9/7/2016 7:22,29-04-1992
151649,0,Cash loans,F,N,N,72000,675000,19345.5,675000,Higher education,Municipal apartment,0.011657,1,5/5/2016 10:56,2/7/1987
68583,0,Cash loans,F,N,Y,117000,454500,21996,454500,Secondary / secondary special,House / apartment,0.02461,2,6/16/2017 7:33,17-08-1954
103820,0,Cash loans,M,Y,Y,202500,254700,16582.5,225000,Secondary / secondary special,House / apartment,0.04622,1,12/10/2015 3:26,17-07-1949
78375,0,Cash loans,F,N,Y,135000,675000,19867.5,675000,Secondary / secondary special,House / apartment,0.04622,1,8/23/2017 23:36,18-06-1960
70579,0,Cash loans,F,N,N,216000,254700,24808.5,225000,Higher education,House / apartment,0.072508,1,4/20/2017 17:18,1/8/1962
183228,0,Cash loans,M,N,N,112500,1288350,41562,1125000,Higher education,House / apartment,0.00963,2,5/20/2015 21:49,13-08-1959
